adresse,Code postal,Commune,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
53 RUE DES GRANDES VIGNES,91310,MONTLHERY,2.256793,48.639723,0.9632,0.6048303305785123,53 Rue des Grandes Vignes 91310 Montlhéry,housenumber,91425_0001_00053,53,53 Rue des Grandes Vignes,Rue des Grandes Vignes,91310,Montlhéry,"91, Essonne, Île-de-France",91425,,,,ok
53 RUE DES ILES,77176,SAVIGNY-LE-TEMPLE,2.564219,48.598785,0.969810909090909,0.7534041501976284,53 Rue des Iles 77176 Savigny-le-Temple,housenumber,77445_1380_00053,53,53 Rue des Iles,Rue des Iles,77176,Savigny-le-Temple,"77, Seine-et-Marne, Île-de-France",77445,,,,ok
53 RUE DES PRAIRIES,75020,PARIS 20,2.402185,48.863218,0.8975326446280991,0.4429623923444975,53 Rue des Prairies 75020 Paris,housenumber,75120_7785_00053,53,53 Rue des Prairies,Rue des Prairies,75020,Paris,"75, Paris, Île-de-France",75120,,,Paris 20e Arrondissement,ok
53 RUE DES RUELLES,91300,MASSY,2.256426,48.729554,0.9713790909090908,0.6310751105651105,53 Rue des Ruelles 91300 Massy,housenumber,91377_4210_00053,53,53 Rue des Ruelles,Rue des Ruelles,91300,Massy,"91, Essonne, Île-de-France",91377,,,,ok
53 RUE DES RUISSEAUX,95370,MONTIGNY LES CORMEILLES,2.191261,48.987372,0.9653799999999998,,53 Rue des Ruisseaux 95370 Montigny-lès-Cormeilles,housenumber,95424_0727_00053,53,53 Rue des Ruisseaux,Rue des Ruisseaux,95370,Montigny-lès-Cormeilles,"95, Val-d'Oise, Île-de-France",95424,,,,ok
53 RUE DES VOIES DU BOIS,92700,COLOMBES,2.249572,48.91902,0.9802027272727272,,53 Rue des Voies du Bois 92700 Colombes,housenumber,92025_9680_00053,53,53 Rue des Voies du Bois,Rue des Voies du Bois,92700,Colombes,"92, Hauts-de-Seine, Île-de-France",92025,,,,ok
53 RUE DESGRANGES,93100,MONTREUIL,2.443186,48.851972,0.9741963636363634,,53 Rue Desgranges 93100 Montreuil,housenumber,93048_2540_00053,53,53 Rue Desgranges,Rue Desgranges,93100,Montreuil,"93, Seine-Saint-Denis, Île-de-France",93048,,,,ok
53 RUE DESIRE CLEMENT,78700,CONFLANS SAINTE HONORINE,2.110208,49.001661,0.9741536363636363,0.7208147658402203,53 Rue Désiré Clément 78700 Conflans-Sainte-Honorine,housenumber,78172_0790_00053,53,53 Rue Désiré Clément,Rue Désiré Clément,78700,Conflans-Sainte-Honorine,"78, Yvelines, Île-de-France",78172,,,,ok
53 RUE DIDOT,75014,PARIS 14,2.319799,48.831124,0.8752803496503495,0.4681881385281385,53 Rue Didot 75014 Paris,housenumber,75114_2794_00053,53,53 Rue Didot,Rue Didot,75014,Paris,"75, Paris, Île-de-France",75114,,,Paris 14e Arrondissement,ok
53 RUE DOUDEAUVILLE,75018,PARIS 18,2.352556,48.888311,0.8976235537190081,,53 Rue Doudeauville 75018 Paris,housenumber,75118_2921_00053,53,53 Rue Doudeauville,Rue Doudeauville,75018,Paris,"75, Paris, Île-de-France",75118,,,Paris 18e Arrondissement,ok
