search,longitude,latitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
1 ALL ADRIENNE 93250 VILLEMOMBLE,2.506387,48.892543,0.8528454010695186,,1 Allee Adrienne 93250 Villemomble,housenumber,93077_0020_00001,1,1 Allee Adrienne,Allee Adrienne,93250,Villemomble,"93, Seine-Saint-Denis, Île-de-France",93077,,,,ok
1 ALL ANDRE MALRAUX 77370 NANGIS,3.021352,48.555318,0.8507826737967914,,1 Allee Andre Malraux 77370 Nangis,housenumber,77327_0008_00001,1,1 Allee Andre Malraux,Allee Andre Malraux,77370,Nangis,"77, Seine-et-Marne, Île-de-France",77327,,,,ok
1 ALL ANDRE MALRAUX 78260 ACHERES,2.061936,48.9531,0.8560466233766233,,1 Allée André Malraux 78260 Achères,housenumber,78005_0039_00001,1,1 Allée André Malraux,Allée André Malraux,78260,Achères,"78, Yvelines, Île-de-France",78005,,,,ok
1 ALL ANTOINE GROSSIN 92140 CLAMART,2.273156,48.8121,0.8703935380835379,,1 Allee Antoine Grossin 92140 Clamart,housenumber,92023_0068_00001,1,1 Allee Antoine Grossin,Allee Antoine Grossin,92140,Clamart,"92, Hauts-de-Seine, Île-de-France",92023,,,,ok
1 ALL ARAGON 93290 TREMBLAY-EN-FRANCE,2.572306,48.950582,0.7563370707070707,0.6521760606060605,1 Allee Louis Aragon 93290 Tremblay-en-France,housenumber,93073_0103_00001,1,1 Allee Louis Aragon,Allee Louis Aragon,93290,Tremblay-en-France,"93, Seine-Saint-Denis, Île-de-France",93073,,,,ok
1 ALL ARAGON 93290 TREMBLAY-EN-FRANCE,2.572306,48.950582,0.7563370707070707,0.6521760606060605,1 Allee Louis Aragon 93290 Tremblay-en-France,housenumber,93073_0103_00001,1,1 Allee Louis Aragon,Allee Louis Aragon,93290,Tremblay-en-France,"93, Seine-Saint-Denis, Île-de-France",93073,,,,ok
1 ALL ARNAUD BELTRAME 94800 VILLEJUIF,2.354638,48.788194,0.8657171794871795,,1 Allée Arnaud Beltrame 94800 Villejuif,housenumber,94076_0450_00001,1,1 Allée Arnaud Beltrame,Allée Arnaud Beltrame,94800,Villejuif,"94, Val-de-Marne, Île-de-France",94076,,,,ok
1 ALL ARNAUD BELTRAME 92150 SURESNES,2.219451,48.862451,0.8648016746411482,,1 Allée Arnaud Beltrame 92150 Suresnes,housenumber,92073_0085_00001,1,1 Allée Arnaud Beltrame,Allée Arnaud Beltrame,92150,Suresnes,"92, Hauts-de-Seine, Île-de-France",92073,,,,ok
1 ALL ARTHUR RIMBAUD 78500 SARTROUVILLE,2.203539,48.941819,0.8787772949002216,,1 Allee Arthur Rimbaud 78500 Sartrouville,housenumber,78586_0186_00001,1,1 Allee Arthur Rimbaud,Allee Arthur Rimbaud,78500,Sartrouville,"78, Yvelines, Île-de-France",78586,,,,ok
1 ALL BERLIOZ 91200 ATHIS MONS,2.385658,48.703431,0.7017324708624708,,1 Allee Hector Berlioz 91200 Athis-Mons,housenumber,91027_0540_00001,1,1 Allee Hector Berlioz,Allee Hector Berlioz,91200,Athis-Mons,"91, Essonne, Île-de-France",91027,,,,ok
