adresse,Date mutation,Valeur fonciere,Code postal,Commune,Surface reelle bati,Surface terrain,Nombre pieces principales,Code commune,Type local,Valeur foncière au mètre carré,lat,lon,x,y,search
53 RUE DES GRANDES VIGNES,19/06/2024,462500.0,91310,MONTLHERY,142.0,559.0,5.0,425,Maison,3257.042253521127,,,,,"53 RUE DES GRANDES VIGNES, 91310 MONTLHERY"
53 RUE DES ILES,19/12/2024,260000.0,77176,SAVIGNY-LE-TEMPLE,83.0,315.0,5.0,445,Maison,3132.5301204819275,,,,,"53 RUE DES ILES, 77176 SAVIGNY-LE-TEMPLE"
53 RUE DES PRAIRIES,27/09/2024,240000.0,75020,PARIS 20,27.0,0.0,1.0,120,Appartement,8888.888888888889,,,,,"53 RUE DES PRAIRIES, 75020 PARIS 20"
53 RUE DES RUELLES,05/11/2024,336000.0,91300,MASSY,95.0,891.0,5.0,377,Maison,3536.842105263158,,,,,"53 RUE DES RUELLES, 91300 MASSY"
53 RUE DES RUISSEAUX,15/03/2024,171800.0,95370,MONTIGNY LES CORMEILLES,46.0,0.0,2.0,424,Appartement,3734.782608695652,,,,,"53 RUE DES RUISSEAUX, 95370 MONTIGNY LES CORMEILLES"
53 RUE DES VOIES DU BOIS,07/05/2024,254000.0,92700,COLOMBES,38.0,47.0,2.0,25,Maison,6684.210526315789,,,,,"53 RUE DES VOIES DU BOIS, 92700 COLOMBES"
53 RUE DESGRANGES,29/03/2024,747410.0,93100,MONTREUIL,88.0,45.0,6.0,48,Maison,8493.295454545454,,,,,"53 RUE DESGRANGES, 93100 MONTREUIL"
53 RUE DESIRE CLEMENT,31/01/2024,225000.0,78700,CONFLANS SAINTE HONORINE,66.0,0.0,3.0,172,Appartement,3409.090909090909,,,,,"53 RUE DESIRE CLEMENT, 78700 CONFLANS SAINTE HONORINE"
53 RUE DIDOT,21/10/2024,593000.0,75014,PARIS 14,55.0,0.0,3.0,114,Appartement,10781.818181818182,,,,,"53 RUE DIDOT, 75014 PARIS 14"
53 RUE DOUDEAUVILLE,02/08/2024,379225.0,75018,PARIS 18,43.0,0.0,3.0,118,Appartement,8819.186046511628,,,,,"53 RUE DOUDEAUVILLE, 75018 PARIS 18"
