adresse,Date mutation,Valeur fonciere,Code_postal,Commune,Surface reelle bati,Surface terrain,Nombre pieces principales,Code commune,Type local,Valeur foncière au mètre carré,search,longitude,latitude,result_score
1 ALL ADRIENNE,02/01/2024,153000.0,93250,VILLEMOMBLE,37.0,0.0,2.0,77,Appartement,4135.135135135135,1 ALL ADRIENNE 93250 VILLEMOMBLE,2.506387,48.892543,0.8528454010695186
1 ALL ANDRE MALRAUX,08/11/2024,234000.0,77370,NANGIS,81.0,232.0,4.0,327,Maison,2888.8888888888887,1 ALL ANDRE MALRAUX 77370 NANGIS,3.021352,48.555318,0.8507826737967914
1 ALL ANDRE MALRAUX,23/02/2024,333000.0,78260,ACHERES,88.0,408.0,4.0,5,Maison,3784.090909090909,1 ALL ANDRE MALRAUX 78260 ACHERES,2.061936,48.9531,0.8560466233766233
1 ALL ANTOINE GROSSIN,12/07/2024,710250.0,92140,CLAMART,95.0,0.0,4.0,23,Maison,7476.315789473684,1 ALL ANTOINE GROSSIN 92140 CLAMART,2.273156,48.8121,0.8703935380835379
1 ALL ARAGON,19/06/2024,159000.0,93290,TREMBLAY-EN-FRANCE,63.0,0.0,4.0,73,Appartement,2523.809523809524,1 ALL ARAGON 93290 TREMBLAY-EN-FRANCE,2.572306,48.950582,0.7563370707070707
1 ALL ARAGON,22/08/2024,194000.0,93290,TREMBLAY-EN-FRANCE,84.0,0.0,5.0,73,Appartement,2309.5238095238096,1 ALL ARAGON 93290 TREMBLAY-EN-FRANCE,2.572306,48.950582,0.7563370707070707
1 ALL ARNAUD BELTRAME,09/09/2024,443600.0,94800,VILLEJUIF,90.0,0.0,4.0,76,Appartement,4928.888888888889,1 ALL ARNAUD BELTRAME 94800 VILLEJUIF,2.354638,48.788194,0.8657171794871795
1 ALL ARNAUD BELTRAME,27/08/2024,363250.0,92150,SURESNES,44.0,0.0,2.0,73,Appartement,8255.681818181818,1 ALL ARNAUD BELTRAME 92150 SURESNES,2.219451,48.862451,0.8648016746411482
1 ALL ARTHUR RIMBAUD,18/09/2024,161970.0,78500,SARTROUVILLE,80.0,0.0,4.0,586,Maison,2024.625,1 ALL ARTHUR RIMBAUD 78500 SARTROUVILLE,2.203539,48.941819,0.8787772949002216
1 ALL BERLIOZ,06/11/2024,130000.0,91200,ATHIS MONS,63.0,0.0,4.0,27,Appartement,2063.4920634920636,1 ALL BERLIOZ 91200 ATHIS MONS,2.385658,48.703431,0.7017324708624708
1 ALL CAMILLE PISSARO,14/05/2024,164800.0,95230,SOISY SS MONTMORENCY,82.0,0.0,4.0,598,Appartement,2009.7560975609756,1 ALL CAMILLE PISSARO 95230 SOISY SS MONTMORENCY,2.292317,48.99248,0.8002875757575757
1 ALL CAMILLE ST SAENS,04/10/2024,265000.0,92260,FONTENAY-AUX-ROSES,67.0,0.0,4.0,32,Appartement,3955.223880597015,1 ALL CAMILLE ST SAENS 92260 FONTENAY-AUX-ROSES,2.300566,48.786943,0.7988287993138936
1 ALL CARPEAUX,16/12/2024,157000.0,93800,EPINAY SUR SEINE,62.0,0.0,3.0,31,Appartement,2532.2580645161293,1 ALL CARPEAUX 93800 EPINAY SUR SEINE,2.322701,48.95554,0.863501724941725
1 ALL CATALOGNE,15/03/2024,250000.0,95140,GARGES-LES-GONESSE,96.0,137.0,5.0,268,Maison,2604.1666666666665,1 ALL CATALOGNE 95140 GARGES-LES-GONESSE,2.414976,48.969533,0.8215794949494949
